id_departamento,departamento,id_municipio,municipio,id_localidad,localidad,año_servicio,mes_servicio,energia_activa,energia_reactiva,potencia_maxima,dia_demanda_maxima,fecha_demanda_maxima,promedio_diario_horas
91,AMAZONAS,91798,TARAPACA (ANM),91798000,TARAPACA (TARAPACA (ANM) - AMAZONAS),2024,10,25.722,11.455,60.0,miércoles,2024 Oct 02 02:30:00 PM,24.0
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873010,LA PLAYA MURRI  (VIGÍA DEL FUERTE - ANTIOQUIA),2024,10,5.792,2.428,60.0,jueves,2024 Oct 03 06:30:00 PM,24.0
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873013,LOMA MURRI (VIGÍA DEL FUERTE - ANTIOQUIA),2024,10,7.563,3.492,60.0,lunes,2024 Oct 07 05:30:00 PM,24.0
88,ARCHIPIÉLAGO DE SAN ANDRÉS y PROVIDENCIA,88564,PROVIDENCIA,88564000,PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS y PROVIDENCIA ),2024,10,10.326,248.214,60.0,jueves,2024 Oct 24 02:30:00 PM,24.0
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001007,ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR),2024,10,60.909,27.005,60.0,sábado,2024 Oct 12 09:45:00 PM,24.0
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001037,ISLA MUCURA (CARTAGENA DE INDIAS - BOLÍVAR),2024,10,0.0,0.0,0.0,martes,2024 Oct 01 12:00:00 AM,0.0
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001017,SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR),2024,10,13.769,3.852,60.0,viernes,2024 Oct 25 10:30:00 PM,24.0
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150001,REMOLINO DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ),2024,10,10.614,4.275,60.0,jueves,2024 Oct 17 07:15:00 PM,24.0
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150002,SANTA FE DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ),2024,10,1.853,784.0,60.0,martes,2024 Oct 22 06:45:00 PM,24.0
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2024,10,11.461,4.135,60.0,viernes,2024 Oct 18 08:15:00 PM,24.0
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753009,PUERTO BETANIA (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2024,10,4.898,1.658,60.0,martes,2024 Oct 22 07:30:00 PM,24.0
